Date,Customer_ID,Category,Region,Device,Funnel_Stage,Stage_Order,Revenue,Order_Flag
2023-04-13,C03161,Mobile,US,Mobile,View,2,0,0
2024-03-11,C03606,Accessories,EU,Mobile,Visit,1,0,0
2023-09-28,C03372,Accessories,India,Desktop,View,2,0,0
2023-04-17,C02092,Laptop,UK,Desktop,Visit,1,0,0
2023-03-13,C01061,Wearables,India,Mobile,Visit,1,0,0
2024-12-01,C07687,Laptop,EU,Mobile,View,2,0,0
2023-01-21,C05594,Laptop,India,Mobile,Purchase,5,6343,1
2024-09-06,C03352,Laptop,India,Mobile,View,2,0,0
2023-05-02,C00461,Mobile,UK,Mobile,View,2,0,0
2024-04-11,C05289,Laptop,US,Desktop,Visit,1,0,0
2023-08-03,C02118,Accessories,UK,Mobile,Purchase,5,74004,1
2023-11-27,C06357,Wearables,US,Mobile,Add to Cart,3,0,0
2024-04-03,C01607,Audio,India,Desktop,Visit,1,0,0
2023-03-29,C05010,Audio,EU,Mobile,Checkout,4,0,0
2024-01-08,C05839,Audio,India,Desktop,Checkout,4,0,0
2023-04-10,C00072,Wearables,EU,Mobile,Visit,1,0,0
2024-10-25,C04924,Laptop,EU,Desktop,Purchase,5,12260,1
2023-05-11,C06324,Wearables,India,Mobile,Checkout,4,0,0
2024-10-23,C06352,Wearables,India,Mobile,Checkout,4,0,0
2023-11-05,C04273,Mobile,US,Mobile,View,2,0,0
2023-12-10,C00707,Wearables,UK,Mobile,Add to Cart,3,0,0
2024-05-06,C07469,Mobile,US,Mobile,Add to Cart,3,0,0
2024-02-18,C01929,Accessories,UK,Desktop,Purchase,5,25852,1
2024-01-21,C04980,Mobile,EU,Desktop,Add to Cart,3,0,0
2023-07-11,C02799,Audio,India,Desktop,Visit,1,0,0
2023-10-04,C01178,Mobile,India,Desktop,Visit,1,0,0
2023-06-10,C00154,Accessories,UK,Desktop,Visit,1,0,0
2024-04-04,C00030,Wearables,EU,Mobile,Visit,1,0,0
2023-11-10,C05147,Audio,EU,Desktop,Visit,1,0,0
2023-01-22,C05072,Mobile,EU,Desktop,Visit,1,0,0
2023-09-10,C03312,Laptop,India,Desktop,Add to Cart,3,0,0
2024-07-14,C03827,Wearables,US,Mobile,Checkout,4,0,0
2024-04-19,C06788,Audio,EU,Desktop,View,2,0,0
2023-02-28,C04787,Audio,UK,Desktop,Checkout,4,0,0
2024-05-25,C01875,Mobile,EU,Mobile,Visit,1,0,0
2024-11-12,C06242,Wearables,UK,Mobile,Visit,1,0,0
2024-04-20,C06470,Wearables,UK,Desktop,View,2,0,0
2024-11-30,C00237,Laptop,US,Desktop,Visit,1,0,0
2023-07-09,C02186,Laptop,UK,Mobile,Purchase,5,60274,1
2024-11-17,C04726,Audio,UK,Desktop,View,2,0,0
2024-07-16,C00618,Audio,India,Desktop,Visit,1,0,0
2024-07-20,C01572,Accessories,UK,Mobile,Visit,1,0,0
2023-09-01,C07214,Audio,EU,Desktop,Add to Cart,3,0,0
2024-05-19,C05736,Laptop,US,Desktop,View,2,0,0
2023-05-11,C02438,Mobile,US,Desktop,View,2,0,0
2024-04-29,C07532,Accessories,India,Desktop,Visit,1,0,0
2024-10-08,C04456,Audio,US,Mobile,View,2,0,0
2023-01-21,C00582,Laptop,India,Mobile,Add to Cart,3,0,0
2023-06-16,C02255,Accessories,India,Mobile,View,2,0,0
2023-10-01,C05853,Mobile,US,Desktop,View,2,0,0
2024-01-23,C00601,Mobile,UK,Mobile,Add to Cart,3,0,0
2024-08-23,C00979,Laptop,EU,Desktop,Visit,1,0,0
2023-11-12,C06094,Wearables,US,Desktop,Checkout,4,0,0
2023-01-14,C00515,Laptop,US,Mobile,View,2,0,0
2023-08-30,C06066,Laptop,US,Mobile,Visit,1,0,0
2023-12-12,C00810,Laptop,India,Mobile,Add to Cart,3,0,0
2024-07-18,C07534,Wearables,India,Mobile,View,2,0,0
2023-12-06,C06094,Audio,US,Desktop,Add to Cart,3,0,0
2023-04-02,C02486,Audio,US,Desktop,Visit,1,0,0
2024-01-02,C07399,Mobile,India,Mobile,Purchase,5,38890,1
2024-03-30,C01447,Audio,US,Desktop,Visit,1,0,0
2024-03-03,C00469,Laptop,US,Desktop,Checkout,4,0,0
2024-05-23,C00630,Audio,India,Mobile,View,2,0,0
2023-02-04,C03383,Wearables,EU,Mobile,View,2,0,0
2023-07-25,C06539,Audio,US,Mobile,View,2,0,0
2023-03-22,C00114,Laptop,India,Mobile,View,2,0,0
2024-07-15,C01226,Audio,UK,Mobile,View,2,0,0
2024-01-23,C06607,Mobile,UK,Desktop,Checkout,4,0,0
2023-01-02,C06686,Audio,EU,Desktop,View,2,0,0
2024-01-25,C05484,Mobile,EU,Desktop,View,2,0,0
2024-07-19,C04343,Accessories,India,Desktop,Visit,1,0,0
2023-04-16,C01617,Wearables,EU,Mobile,Visit,1,0,0
2024-04-21,C03318,Mobile,US,Desktop,View,2,0,0
2024-12-03,C07352,Accessories,UK,Mobile,Checkout,4,0,0
2024-02-06,C07581,Accessories,US,Desktop,Visit,1,0,0
2024-12-30,C06417,Laptop,US,Desktop,Purchase,5,62878,1
2024-07-09,C04641,Accessories,US,Mobile,Add to Cart,3,0,0
2023-06-11,C05734,Wearables,India,Mobile,Add to Cart,3,0,0
2023-07-21,C05397,Wearables,UK,Mobile,Add to Cart,3,0,0
2023-09-27,C02671,Wearables,UK,Mobile,Add to Cart,3,0,0
2023-09-28,C05619,Wearables,US,Desktop,Purchase,5,55301,1
2024-03-31,C04814,Laptop,US,Desktop,Visit,1,0,0
2024-04-06,C04874,Audio,India,Mobile,Add to Cart,3,0,0
2024-12-27,C03069,Mobile,UK,Desktop,Purchase,5,47815,1
2023-09-09,C02538,Laptop,UK,Desktop,Add to Cart,3,0,0
2024-12-02,C06359,Laptop,India,Desktop,Visit,1,0,0
2023-10-23,C03175,Mobile,US,Mobile,Visit,1,0,0
2024-12-25,C07975,Mobile,UK,Mobile,View,2,0,0
2024-12-20,C02638,Audio,US,Desktop,View,2,0,0
2023-12-04,C02223,Audio,EU,Desktop,Visit,1,0,0
2023-02-22,C00052,Wearables,EU,Mobile,Checkout,4,0,0
2023-08-05,C02345,Audio,US,Desktop,Purchase,5,9911,1
2023-07-07,C06108,Audio,UK,Desktop,Purchase,5,66020,1
2024-01-15,C02223,Mobile,UK,Mobile,View,2,0,0
2024-05-07,C05065,Accessories,EU,Desktop,View,2,0,0
2023-02-10,C06487,Wearables,UK,Mobile,Checkout,4,0,0
2023-06-06,C05831,Wearables,UK,Mobile,Visit,1,0,0
2023-01-15,C04696,Laptop,EU,Desktop,View,2,0,0
2023-03-06,C04267,Audio,UK,Desktop,Visit,1,0,0
2024-06-04,C03109,Audio,US,Desktop,Add to Cart,3,0,0
2023-12-10,C01659,Mobile,UK,Mobile,View,2,0,0
2023-05-09,C07369,Audio,India,Desktop,View,2,0,0
2024-10-09,C05184,Laptop,India,Mobile,Visit,1,0,0
2024-04-16,C03558,Mobile,India,Mobile,View,2,0,0
2023-03-04,C04551,Wearables,EU,Desktop,Visit,1,0,0
2023-05-19,C07868,Audio,UK,Desktop,Add to Cart,3,0,0
2024-05-13,C04823,Audio,India,Mobile,Purchase,5,32381,1
2024-08-15,C05529,Laptop,EU,Mobile,Purchase,5,2736,1
2024-01-27,C00887,Laptop,EU,Desktop,View,2,0,0
2024-11-05,C03054,Mobile,US,Desktop,View,2,0,0
2024-02-23,C02803,Wearables,EU,Mobile,Visit,1,0,0
2023-10-16,C02198,Laptop,EU,Desktop,Visit,1,0,0
2024-01-14,C05622,Laptop,EU,Mobile,Checkout,4,0,0
2024-05-04,C04011,Wearables,UK,Desktop,Checkout,4,0,0
2023-08-19,C00636,Accessories,US,Mobile,Purchase,5,37301,1
2023-02-10,C03015,Mobile,EU,Desktop,View,2,0,0
2023-01-28,C06854,Accessories,India,Desktop,View,2,0,0
2023-05-15,C05668,Wearables,India,Desktop,Visit,1,0,0
2023-07-20,C03886,Audio,India,Desktop,Add to Cart,3,0,0
2023-02-02,C06422,Mobile,UK,Desktop,Visit,1,0,0
2023-02-17,C02083,Wearables,EU,Mobile,View,2,0,0
2024-05-17,C07793,Wearables,EU,Mobile,Purchase,5,7113,1
2024-02-11,C00175,Mobile,US,Desktop,Purchase,5,71818,1
2024-07-27,C01057,Accessories,EU,Desktop,Visit,1,0,0
2024-12-28,C01749,Audio,UK,Mobile,View,2,0,0
2023-04-09,C02763,Accessories,UK,Mobile,Checkout,4,0,0
2024-11-14,C03469,Laptop,US,Desktop,Visit,1,0,0
2024-12-26,C02302,Accessories,UK,Desktop,View,2,0,0
2024-06-30,C00568,Laptop,India,Desktop,Visit,1,0,0
2024-09-04,C04419,Mobile,India,Mobile,Purchase,5,61887,1
2024-04-06,C06157,Laptop,India,Mobile,View,2,0,0
2024-10-04,C06194,Wearables,EU,Mobile,Visit,1,0,0
2023-01-05,C01784,Laptop,EU,Desktop,Visit,1,0,0
2023-08-06,C07401,Wearables,UK,Mobile,Add to Cart,3,0,0
2024-05-17,C07097,Wearables,EU,Mobile,View,2,0,0
2024-02-02,C07138,Accessories,UK,Desktop,Visit,1,0,0
2024-01-28,C07708,Audio,India,Desktop,View,2,0,0
2023-07-26,C06760,Accessories,EU,Desktop,Add to Cart,3,0,0
2023-01-15,C07010,Accessories,UK,Mobile,View,2,0,0
2024-07-07,C02144,Wearables,EU,Desktop,Purchase,5,51173,1
2024-04-05,C04439,Audio,EU,Desktop,Visit,1,0,0
2024-11-21,C07000,Wearables,India,Desktop,Add to Cart,3,0,0
2024-07-28,C02241,Audio,EU,Mobile,Add to Cart,3,0,0
2023-08-29,C02559,Laptop,India,Desktop,Visit,1,0,0
2024-07-17,C01475,Wearables,UK,Mobile,Visit,1,0,0
2023-04-06,C05245,Accessories,US,Desktop,Checkout,4,0,0
2024-04-29,C07249,Wearables,US,Mobile,Checkout,4,0,0
2024-02-11,C04103,Mobile,India,Desktop,Visit,1,0,0
2023-08-19,C00330,Mobile,India,Mobile,View,2,0,0
2024-10-16,C04179,Mobile,UK,Mobile,Visit,1,0,0
2023-06-20,C05656,Accessories,UK,Desktop,Purchase,5,58636,1
2024-06-24,C07049,Accessories,UK,Desktop,View,2,0,0
2023-02-05,C02674,Mobile,India,Mobile,Add to Cart,3,0,0
2024-06-08,C04623,Accessories,EU,Desktop,View,2,0,0
2023-06-09,C05233,Accessories,India,Mobile,View,2,0,0
2024-11-29,C06584,Accessories,UK,Desktop,View,2,0,0
2023-08-31,C00890,Mobile,US,Desktop,Visit,1,0,0
2023-03-27,C00762,Laptop,US,Desktop,Add to Cart,3,0,0
2024-07-31,C01024,Laptop,US,Desktop,Purchase,5,27091,1
2024-11-12,C01681,Audio,EU,Desktop,Visit,1,0,0
2024-07-10,C06163,Wearables,India,Desktop,View,2,0,0
2024-07-27,C06153,Laptop,UK,Desktop,View,2,0,0
2024-10-07,C05952,Audio,US,Desktop,Visit,1,0,0
2023-01-28,C03257,Laptop,UK,Mobile,Checkout,4,0,0
2024-09-11,C01062,Mobile,US,Mobile,Purchase,5,22677,1
2024-07-09,C06867,Audio,EU,Mobile,Purchase,5,73084,1
2023-12-06,C00904,Mobile,UK,Mobile,Visit,1,0,0
2023-11-27,C00134,Mobile,US,Desktop,Checkout,4,0,0
2024-10-01,C06065,Audio,India,Desktop,View,2,0,0
2024-05-20,C01126,Audio,India,Desktop,Add to Cart,3,0,0
2023-12-14,C01965,Laptop,India,Desktop,Purchase,5,8310,1
2024-04-17,C05269,Laptop,US,Desktop,View,2,0,0
2023-08-19,C02040,Wearables,India,Desktop,Visit,1,0,0
2023-07-09,C04189,Laptop,EU,Mobile,View,2,0,0
2023-08-13,C02850,Audio,UK,Mobile,Purchase,5,59578,1
2024-01-20,C03212,Laptop,EU,Desktop,Add to Cart,3,0,0
2024-01-12,C03367,Audio,India,Mobile,Add to Cart,3,0,0
2023-10-10,C02912,Wearables,India,Mobile,Purchase,5,38303,1
2024-09-24,C04870,Audio,India,Mobile,Add to Cart,3,0,0
2024-09-19,C07761,Wearables,UK,Mobile,Add to Cart,3,0,0
2023-09-16,C02592,Wearables,EU,Mobile,Add to Cart,3,0,0
2023-12-25,C04284,Wearables,India,Desktop,View,2,0,0
2024-12-10,C02184,Mobile,UK,Desktop,View,2,0,0
2024-03-31,C04262,Accessories,US,Desktop,Checkout,4,0,0
2024-02-15,C03549,Audio,EU,Desktop,Visit,1,0,0
2024-10-10,C07135,Laptop,US,Desktop,Add to Cart,3,0,0
2023-11-14,C07315,Accessories,UK,Mobile,Add to Cart,3,0,0
2024-11-07,C00245,Accessories,India,Desktop,View,2,0,0
2023-08-13,C05303,Mobile,US,Mobile,View,2,0,0
2023-08-22,C05129,Audio,EU,Desktop,View,2,0,0
2024-11-14,C05556,Audio,UK,Desktop,Add to Cart,3,0,0
2024-10-25,C01180,Laptop,UK,Desktop,Add to Cart,3,0,0
2024-01-09,C04926,Mobile,US,Mobile,Visit,1,0,0
2024-11-02,C06832,Accessories,EU,Mobile,View,2,0,0
2024-08-30,C06258,Audio,EU,Desktop,Visit,1,0,0
2024-04-16,C01779,Mobile,EU,Mobile,Add to Cart,3,0,0
2023-08-21,C06311,Wearables,EU,Mobile,Add to Cart,3,0,0
2024-11-22,C02536,Audio,US,Desktop,Add to Cart,3,0,0
2023-04-23,C00437,Accessories,UK,Desktop,Visit,1,0,0
2024-05-11,C02271,Wearables,UK,Desktop,View,2,0,0
2024-03-17,C06335,Wearables,EU,Desktop,View,2,0,0
2024-07-17,C05907,Wearables,India,Desktop,Add to Cart,3,0,0
2023-09-25,C01825,Accessories,India,Desktop,Checkout,4,0,0
2024-05-24,C06720,Mobile,EU,Mobile,View,2,0,0
2024-01-21,C00794,Audio,US,Mobile,Purchase,5,44020,1
2024-01-22,C04269,Mobile,US,Desktop,Visit,1,0,0
2023-04-23,C01281,Accessories,US,Desktop,View,2,0,0
2024-09-04,C01739,Laptop,India,Desktop,Checkout,4,0,0
2024-09-16,C00450,Audio,UK,Desktop,Checkout,4,0,0
2023-03-22,C07669,Audio,UK,Desktop,Purchase,5,58663,1
2024-11-29,C01955,Laptop,EU,Desktop,Visit,1,0,0
2023-04-23,C06221,Wearables,US,Mobile,Checkout,4,0,0
2023-01-02,C00615,Audio,UK,Desktop,Checkout,4,0,0
2024-10-03,C04322,Audio,India,Mobile,Purchase,5,4851,1
2023-08-08,C07394,Audio,EU,Mobile,View,2,0,0
2024-07-19,C00739,Accessories,UK,Desktop,Checkout,4,0,0
2023-08-13,C01632,Laptop,EU,Desktop,Purchase,5,63526,1
2024-01-20,C05037,Audio,EU,Mobile,Visit,1,0,0
2024-02-07,C04172,Laptop,India,Mobile,Add to Cart,3,0,0
2024-09-29,C07201,Wearables,India,Desktop,Visit,1,0,0
2023-05-10,C03666,Audio,India,Mobile,Add to Cart,3,0,0
2023-02-22,C00069,Mobile,India,Mobile,View,2,0,0
2024-11-14,C01875,Mobile,India,Mobile,Visit,1,0,0
2024-12-30,C06559,Mobile,EU,Mobile,Checkout,4,0,0
2024-11-02,C06875,Mobile,EU,Mobile,Visit,1,0,0
