User_ID,Income,Expense,Savings,Debt_Payment,Transaction_Count
U1000,45795,31698,14097,10357,97
U1001,30860,12799,18061,17154,21
U1002,133694,78497,55197,4363,138
U1003,149879,90701,59178,10176,56
U1004,140268,124057,16211,17461,88
U1005,106820,74824,31996,8427,60
U1006,84886,42046,42840,8580,81
U1007,36265,22034,14231,4858,79
U1008,112386,92805,19581,10040,144
U1009,67194,30963,36231,19198,130
U1010,117498,91707,25791,19758,33
U1011,142727,88346,54381,15254,103
U1012,74131,33406,40725,11470,149
U1013,90263,66179,24084,1252,89
U1014,46023,26624,19399,6996,142
U1015,71090,38630,32460,12173,108
U1016,97221,51541,45680,4673,47
U1017,94820,68613,26207,15781,85
U1018,30769,14269,16500,13051,24
U1019,89735,56357,33378,6881,64
U1020,92955,67422,25533,6949,66
U1021,94925,70011,24914,9521,50
U1022,97969,44502,53467,8017,29
U1023,35311,15617,19694,6941,137
U1024,133355,89523,43832,10209,33
U1025,134724,65011,69713,17715,99
U1026,113104,58212,54892,9550,112
U1027,83707,42764,40943,4637,29
U1028,115305,92751,22554,4854,95
U1029,58693,27532,31161,19561,113
U1030,101932,89988,11944,10320,124
U1031,123016,58489,64527,18564,20
U1032,136970,111986,24984,4892,39
U1033,55658,34487,21171,7043,27
U1034,114478,50300,64178,16521,20
U1035,48431,33328,15103,19856,76
U1036,32747,12602,20145,19216,83
U1037,89150,49221,39929,19963,137
U1038,95725,53887,41838,4164,47
U1039,114654,83031,31623,7941,140
U1040,65773,59149,6624,14388,126
U1041,149346,92874,56472,5569,68
U1042,97435,45274,52161,4300,139
U1043,86886,46800,40086,6269,63
U1044,96803,37148,59655,3818,75
U1045,61551,47709,13842,12015,130
U1046,146216,72487,73729,12234,127
U1047,41394,33477,7917,18290,133
U1048,99092,78861,20231,6254,97
U1049,33890,17767,16123,17144,149
U1050,71606,42359,29247,7350,56
U1051,126276,46207,80069,15183,39
U1052,110038,89107,20931,6238,45
U1053,117313,95757,21556,6090,48
U1054,40627,25465,15162,11637,20
U1055,38792,27367,11425,12647,138
U1056,138859,60338,78521,9911,54
U1057,138557,95992,42565,8472,78
U1058,103969,47509,56460,18271,88
U1059,73001,34317,38684,3266,31
U1060,106552,60145,46407,666,39
U1061,53897,32566,21331,4188,62
U1062,98148,35280,62868,17055,145
U1063,53483,30670,22813,10161,69
U1064,78555,53533,25022,11314,48
U1065,47159,32350,14809,12891,58
U1066,140510,66616,73894,4777,57
U1067,136530,96300,40230,3900,103
U1068,110077,44270,65807,13716,147
U1069,65920,41356,24564,6981,145
U1070,122067,85140,36927,6376,64
U1071,97121,73740,23381,16907,71
U1072,99479,41886,57593,18777,99
U1073,119475,84175,35300,18977,143
U1074,49457,37108,12349,10160,138
U1075,96557,67004,29553,14124,27
U1076,107189,65742,41447,16282,104
U1077,139109,118876,20233,10488,148
U1078,108953,62456,46497,5240,27
U1079,82995,71186,11809,10453,115
U1080,70757,32361,38396,10478,121
U1081,39692,28217,11475,12394,24
U1082,75758,63741,12017,19262,105
U1083,102409,42434,59975,4432,53
U1084,101211,84537,16674,13568,74
U1085,95697,59326,36371,14178,138
U1086,67065,35298,31767,17660,133
U1087,122093,69149,52944,302,45
U1088,129299,63947,65352,17022,66
U1089,62606,36050,26556,55,132
U1090,41534,37188,4346,13013,95
U1091,124663,96793,27870,8717,91
U1092,70397,26807,43590,8150,108
U1093,121387,64537,56850,2125,65
U1094,31016,17168,13848,11479,52
U1095,119789,49962,69827,15745,20
U1096,85591,61734,23857,16748,50
U1097,119812,69668,50144,6809,72
U1098,53247,41809,11438,4621,67
U1099,54300,19790,34510,15034,88
U1100,104065,42561,61504,13623,124
U1101,112798,45823,66975,5126,109
U1102,39268,32543,6725,5122,82
U1103,116807,66254,50553,18030,92
U1104,42185,35302,6883,17302,108
U1105,93704,47769,45935,19181,32
U1106,116779,46491,70288,5870,92
U1107,69099,58888,10211,1531,96
U1108,38571,17306,21265,8172,87
U1109,135512,89690,45822,19729,117
U1110,68044,51531,16513,7673,144
U1111,81214,31660,49554,6882,121
U1112,91228,47777,43451,1906,121
U1113,144752,53015,91737,3086,38
U1114,78984,29576,49408,13503,101
U1115,70774,35683,35091,8152,42
U1116,32568,19954,12614,5750,102
U1117,92592,53707,38885,12772,128
U1118,97563,39645,57918,10267,94
U1119,32695,22025,10670,1062,148
U1120,78190,36935,41255,18360,107
U1121,35258,30163,5095,17680,73
U1122,117538,101662,15876,6229,108
U1123,69504,29183,40321,16509,84
U1124,63159,22445,40714,15147,95
U1125,43986,26576,17410,4632,79
U1126,91858,48916,42942,6288,112
U1127,42666,23424,19242,3596,68
U1128,68660,24169,44491,11475,54
U1129,33561,12104,21457,6168,121
U1130,56854,41213,15641,9795,30
U1131,94505,42790,51715,7561,118
U1132,134488,77724,56764,8258,129
U1133,82251,54666,27585,16616,93
U1134,52662,34427,18235,6371,28
U1135,38392,18441,19951,14369,22
U1136,60535,47949,12586,12910,104
U1137,108603,51294,57309,7943,45
U1138,143569,114171,29398,12199,91
U1139,82256,68209,14047,15728,67
U1140,119135,97265,21870,6738,136
U1141,65222,42381,22841,15913,31
U1142,107373,57799,49574,2472,67
U1143,109575,95520,14055,19123,56
U1144,126354,91063,35291,15679,63
U1145,114651,84822,29829,1761,34
U1146,93335,72340,20995,10167,62
U1147,40965,33555,7410,10554,106
U1148,54538,31540,22998,17260,89
U1149,138066,106665,31401,14277,65
U1150,100592,84187,16405,3812,127
U1151,128018,63757,64261,17844,142
U1152,143252,51445,91807,18117,40
U1153,38110,28190,9920,1605,126
U1154,109309,63490,45819,5622,99
U1155,57266,22703,34563,6767,66
U1156,82992,72218,10774,11613,136
U1157,112948,66016,46932,19901,143
U1158,128806,84057,44749,10589,44
U1159,36910,32464,4446,13918,55
U1160,140989,50486,90503,13046,70
U1161,120982,67185,53797,2590,34
U1162,149176,78632,70544,17447,87
U1163,30206,12280,17926,4324,40
U1164,117054,44598,72456,10787,38
U1165,117897,60858,57039,9111,53
U1166,53419,29181,24238,5342,97
U1167,80636,56530,24106,16389,144
U1168,144238,95272,48966,8659,136
U1169,80015,54091,25924,14043,71
U1170,147478,68476,79002,8837,46
U1171,137059,55654,81405,117,54
U1172,84268,55045,29223,13917,125
U1173,140687,50447,90240,18935,21
U1174,117939,87377,30562,14309,96
U1175,48141,18809,29332,13234,109
U1176,110356,39181,71175,5560,108
U1177,135878,77246,58632,846,113
U1178,101910,84319,17591,10954,26
U1179,86044,44008,42036,13703,114
U1180,97214,66296,30918,15385,127
U1181,147930,118193,29737,13746,93
U1182,149324,112274,37050,6469,58
U1183,63827,51874,11953,9333,90
U1184,85820,42905,42915,16608,75
U1185,92623,39584,53039,12819,61
U1186,111734,52088,59646,4208,55
U1187,105450,77604,27846,6283,103
U1188,123426,102153,21273,2048,137
U1189,147845,79809,68036,6233,26
U1190,52299,42813,9486,12941,73
U1191,73585,39281,34304,12607,148
U1192,139225,51182,88043,9765,139
U1193,94044,53793,40251,1828,125
U1194,72557,38385,34172,1917,66
U1195,79080,30486,48594,6988,142
U1196,139556,85437,54119,18410,138
U1197,32693,14978,17715,14594,137
U1198,125003,74137,50866,12977,40
U1199,125259,99060,26199,9,45
U1200,142235,119120,23115,16644,28
U1201,99163,63460,35703,9865,34
U1202,55939,40661,15278,2219,29
U1203,78925,45977,32948,7041,141
U1204,72941,47719,25222,18444,140
U1205,51834,24283,27551,5287,144
U1206,48047,36019,12028,1619,91
U1207,56105,28730,27375,8512,68
U1208,105766,70150,35616,1342,110
U1209,45707,36639,9068,10568,56
U1210,51976,37694,14282,19216,87
U1211,74262,60622,13640,19208,69
U1212,53776,35320,18456,18378,38
U1213,60080,29044,31036,14231,119
U1214,96842,36278,60564,3490,79
U1215,91373,47052,44321,9310,108
U1216,36776,16806,19970,7984,88
U1217,122787,83485,39302,17988,68
U1218,85016,51581,33435,12219,127
U1219,39474,16305,23169,235,138
U1220,135830,73058,62772,10161,56
U1221,88053,54863,33190,1908,30
U1222,51959,36293,15666,8567,97
U1223,35530,31586,3944,3530,96
U1224,124856,70802,54054,5256,21
U1225,149101,88373,60728,19019,83
U1226,33748,17656,16092,8162,54
U1227,127504,81300,46204,18944,26
U1228,128098,64171,63927,5415,104
U1229,43545,37553,5992,3391,86
U1230,96199,60612,35587,11157,61
U1231,64766,35081,29685,5951,137
U1232,103530,36511,67019,8007,144
U1233,123557,94395,29162,9064,43
U1234,91087,49491,41596,15524,65
U1235,125839,55987,69852,19282,38
U1236,146183,104051,42132,77,87
U1237,98840,50500,48340,7577,121
U1238,148451,101804,46647,16984,61
U1239,84384,50070,34314,14060,51
U1240,81005,56161,24844,17449,128
U1241,76576,39107,37469,18520,55
U1242,69353,34776,34577,10535,116
U1243,92003,51426,40577,9510,92
U1244,113211,76599,36612,6943,116
U1245,82733,40546,42187,11954,142
U1246,95318,44247,51071,7804,89
U1247,139953,61849,78104,6565,32
U1248,119474,74607,44867,5984,68
U1249,53664,28546,25118,4670,79
U1250,97172,54630,42542,18574,149
U1251,115616,83192,32424,9184,24
U1252,123264,51210,72054,19096,46
U1253,145386,58180,87206,2192,27
U1254,56736,28249,28487,1248,69
U1255,124209,54863,69346,11246,86
U1256,133041,66695,66346,12790,63
U1257,142859,125969,16890,18381,144
U1258,142181,64801,77380,3687,77
