User_ID,Income,Expense,Savings,Debt_Payment,Transaction_Count,Savings_Ratio,Debt_Burden,Spending_Ratio
U1000,45795,31698,14097,10357,97,0.30782836554208975,0.22616006114204606,0.6921716344579103
U1001,30860,12799,18061,17154,21,0.5852559948152949,0.5558651976668827,0.4147440051847051
U1002,133694,78497,55197,4363,138,0.41286071177464956,0.03263422442293596,0.5871392882253504
U1003,149879,90701,59178,10176,56,0.39483850305913437,0.06789476844654688,0.6051614969408656
U1004,140268,124057,16211,17461,88,0.11557162004163458,0.12448313228961702,0.8844283799583654
U1005,106820,74824,31996,8427,60,0.2995319228608875,0.0788897210260251,0.7004680771391125
U1006,84886,42046,42840,8580,81,0.5046768607308626,0.10107673821360413,0.49532313926913746
U1007,36265,22034,14231,4858,79,0.3924169309251344,0.13395836205707984,0.6075830690748656
U1008,112386,92805,19581,10040,144,0.17422988628476857,0.08933497054793302,0.8257701137152315
U1009,67194,30963,36231,19198,130,0.5391999285650505,0.2857100336339554,0.46080007143494955
U1010,117498,91707,25791,19758,33,0.21950160853801767,0.16815605372006331,0.7804983914619823
U1011,142727,88346,54381,15254,103,0.38101410384860607,0.10687536345610851,0.6189858961513939
U1012,74131,33406,40725,11470,149,0.5493653127571462,0.1547260929975314,0.4506346872428539
U1013,90263,66179,24084,1252,89,0.26682029181392153,0.013870578199262157,0.7331797081860785
U1014,46023,26624,19399,6996,142,0.42150663798535515,0.15201095104621604,0.5784933620146449
U1015,71090,38630,32460,12173,108,0.4566043044028696,0.17123364748909833,0.5433956955971304
U1016,97221,51541,45680,4673,47,0.4698573353493587,0.04806574711224941,0.5301426646506413
U1017,94820,68613,26207,15781,85,0.2763868382197849,0.16643113267243198,0.7236131617802152
U1018,30769,14269,16500,13051,24,0.5362540219051642,0.424160681205109,0.4637459780948357
U1019,89735,56357,33378,6881,64,0.37196188778068756,0.07668133949963782,0.6280381122193124
U1020,92955,67422,25533,6949,66,0.27468129740196867,0.07475660265719972,0.7253187025980313
U1021,94925,70011,24914,9521,50,0.2624598367131946,0.1003002370292336,0.7375401632868054
U1022,97969,44502,53467,8017,29,0.5457542692076065,0.0818320080841899,0.4542457307923935
U1023,35311,15617,19694,6941,137,0.5577298858712583,0.19656764181133357,0.44227011412874173
U1024,133355,89523,43832,10209,33,0.3286865884293802,0.07655505980278204,0.6713134115706197
U1025,134724,65011,69713,17715,99,0.5174504913749591,0.13149104836554734,0.4825495086250408
U1026,113104,58212,54892,9550,112,0.4853232423256472,0.08443556372895741,0.5146767576743528
U1027,83707,42764,40943,4637,29,0.4891227734836991,0.055395606102237566,0.5108772265163009
U1028,115305,92751,22554,4854,95,0.19560296604657212,0.04209704696240406,0.8043970339534279
U1029,58693,27532,31161,19561,113,0.5309151006082498,0.33327654064368833,0.4690848993917503
U1030,101932,89988,11944,10320,124,0.11717615665345524,0.10124396656594592,0.8828238433465447
U1031,123016,58489,64527,18564,20,0.5245415230539117,0.15090719906353645,0.47545847694608834
U1032,136970,111986,24984,4892,39,0.18240490618383587,0.035715850186172154,0.8175950938161641
U1033,55658,34487,21171,7043,27,0.38037658557619747,0.12654065902475833,0.6196234144238025
U1034,114478,50300,64178,16521,20,0.5606142664966194,0.1443159384335855,0.43938573350338056
U1035,48431,33328,15103,19856,76,0.3118457186512771,0.4099853399682022,0.6881542813487229
U1036,32747,12602,20145,19216,83,0.6151708553455278,0.5868018444437658,0.38482914465447216
U1037,89150,49221,39929,19963,137,0.4478855860908581,0.22392596747055524,0.5521144139091418
U1038,95725,53887,41838,4164,47,0.43706450770436145,0.04349960825280752,0.5629354922956386
U1039,114654,83031,31623,7941,140,0.2758124443979277,0.0692605578523209,0.7241875556020724
U1040,65773,59149,6624,14388,126,0.10071001778845423,0.21875237559484895,0.8992899822115458
U1041,149346,92874,56472,5569,68,0.37812864087421155,0.037289247787018066,0.6218713591257884
U1042,97435,45274,52161,4300,139,0.5353415097244316,0.044131985426181554,0.4646584902755683
U1043,86886,46800,40086,6269,63,0.4613631655272426,0.07215201528439565,0.5386368344727575
U1044,96803,37148,59655,3818,75,0.6162515624515769,0.0394409264175697,0.3837484375484231
U1045,61551,47709,13842,12015,130,0.22488667933908466,0.1952039771896476,0.7751133206609153
U1046,146216,72487,73729,12234,127,0.5042471412157357,0.0836707337090332,0.4957528587842644
U1047,41394,33477,7917,18290,133,0.19125960284099144,0.4418514760593323,0.8087403971590086
U1048,99092,78861,20231,6254,97,0.204163807370928,0.06311306664513786,0.795836192629072
U1049,33890,17767,16123,17144,149,0.47574505753909707,0.5058719386249632,0.5242549424609029
U1050,71606,42359,29247,7350,56,0.4084434265285032,0.10264502974611066,0.5915565734714968
U1051,126276,46207,80069,15183,39,0.6340793183186036,0.12023662453672906,0.3659206816813963
U1052,110038,89107,20931,6238,45,0.19021610716298007,0.056689507261127974,0.8097838928370199
U1053,117313,95757,21556,6090,48,0.18374775174106878,0.05191240527477773,0.8162522482589313
U1054,40627,25465,15162,11637,20,0.3732000886110222,0.2864351293474783,0.6267999113889777
U1055,38792,27367,11425,12647,138,0.2945194885543411,0.3260208290369148,0.7054805114456589
U1056,138859,60338,78521,9911,54,0.5654728897658776,0.07137455980527009,0.4345271102341224
U1057,138557,95992,42565,8472,78,0.3072020901145377,0.06114451092330232,0.6927979098854623
U1058,103969,47509,56460,18271,88,0.5430464850099549,0.17573507487808865,0.4569535149900451
U1059,73001,34317,38684,3266,31,0.5299105491705594,0.04473911316283338,0.4700894508294407
U1060,106552,60145,46407,666,39,0.4355338238606502,0.006250469254448532,0.5644661761393498
U1061,53897,32566,21331,4188,62,0.39577341967085367,0.07770376829879214,0.6042265803291463
U1062,98148,35280,62868,17055,145,0.6405428536495904,0.17376818681990464,0.3594571463504096
U1063,53483,30670,22813,10161,69,0.4265467531739057,0.18998560290185668,0.5734532468260942
U1064,78555,53533,25022,11314,48,0.31852841957863914,0.14402647826363693,0.6814715804213608
U1065,47159,32350,14809,12891,58,0.31402277401980533,0.27335185224453445,0.6859772259801946
U1066,140510,66616,73894,4777,57,0.5258985125613835,0.03399758024339904,0.47410148743861646
U1067,136530,96300,40230,3900,103,0.2946605141727093,0.028565150516370028,0.7053394858272907
U1068,110077,44270,65807,13716,147,0.5978269756624908,0.12460368651035185,0.4021730243375092
U1069,65920,41356,24564,6981,145,0.37263349514563104,0.10590109223300971,0.627366504854369
U1070,122067,85140,36927,6376,64,0.30251419302514193,0.052233609411224985,0.6974858069748581
U1071,97121,73740,23381,16907,71,0.24074093141545083,0.17408181546730367,0.7592590685845492
U1072,99479,41886,57593,18777,99,0.5789463102765408,0.1887534052413072,0.42105368972345925
U1073,119475,84175,35300,18977,143,0.29545930110901863,0.15883657668968404,0.7045406988909814
U1074,49457,37108,12349,10160,138,0.24969165133348162,0.20543098044766162,0.7503083486665184
U1075,96557,67004,29553,14124,27,0.3060679184316,0.14627629275971707,0.6939320815684
U1076,107189,65742,41447,16282,104,0.3866721398650981,0.15189991510322887,0.6133278601349019
U1077,139109,118876,20233,10488,148,0.14544709544314172,0.07539411540590472,0.8545529045568583
U1078,108953,62456,46497,5240,27,0.4267619982928419,0.04809413233229007,0.5732380017071581
U1079,82995,71186,11809,10453,115,0.14228567986023255,0.12594734622567624,0.8577143201397674
U1080,70757,32361,38396,10478,121,0.5426459572904447,0.1480842884802917,0.45735404270955526
U1081,39692,28217,11475,12394,24,0.2891010783029326,0.3122543585609191,0.7108989216970674
U1082,75758,63741,12017,19262,105,0.15862351170833444,0.2542569761609335,0.8413764882916656
U1083,102409,42434,59975,4432,53,0.5856418869435304,0.04327744631819469,0.41435811305646963
U1084,101211,84537,16674,13568,74,0.1647449387912381,0.1340565748782247,0.8352550612087619
U1085,95697,59326,36371,14178,138,0.3800641608409877,0.14815511458039438,0.6199358391590123
U1086,67065,35298,31767,17660,133,0.47367479311116084,0.26332662342503543,0.5263252068888392
U1087,122093,69149,52944,302,45,0.43363665402602936,0.0024735242806712917,0.5663633459739706
U1088,129299,63947,65352,17022,66,0.5054331433344419,0.13164834994856883,0.4945668566655581
U1089,62606,36050,26556,55,132,0.42417659649234896,0.0008785100469603552,0.575823403507651
U1090,41534,37188,4346,13013,95,0.10463716473250831,0.3133095776953821,0.8953628352674917
U1091,124663,96793,27870,8717,91,0.22356272510688818,0.06992451649647449,0.7764372748931119
U1092,70397,26807,43590,8150,108,0.61920252283478,0.11577197891955623,0.3807974771652201
U1093,121387,64537,56850,2125,65,0.46833680707159747,0.017505993228269914,0.5316631929284026
U1094,31016,17168,13848,11479,52,0.44647923652308485,0.37009930358524634,0.5535207634769151
U1095,119789,49962,69827,15745,20,0.5829166284049454,0.13143944769553131,0.41708337159505465
U1096,85591,61734,23857,16748,50,0.27873257702328513,0.19567477889030388,0.7212674229767149
U1097,119812,69668,50144,6809,72,0.4185223516843054,0.05683070143224385,0.5814776483156946
U1098,53247,41809,11438,4621,67,0.21481022405018124,0.08678423197551036,0.7851897759498188
U1099,54300,19790,34510,15034,88,0.6355432780847146,0.27686924493554327,0.36445672191528544
U1100,104065,42561,61504,13623,124,0.5910152308653246,0.1309085667611589,0.40898476913467546
U1101,112798,45823,66975,5126,109,0.5937605276689303,0.04544406815723683,0.4062394723310697
U1102,39268,32543,6725,5122,82,0.17125904044005297,0.13043699704594072,0.828740959559947
U1103,116807,66254,50553,18030,92,0.43279084301454535,0.15435718749732466,0.5672091569854546
U1104,42185,35302,6883,17302,108,0.16316226146734622,0.41014578641697286,0.8368377385326538
U1105,93704,47769,45935,19181,32,0.49021386493639546,0.20469777170665074,0.5097861350636046
U1106,116779,46491,70288,5870,92,0.6018890382688669,0.050265886846093906,0.39811096173113314
U1107,69099,58888,10211,1531,96,0.14777348442090335,0.022156615869983645,0.8522265155790967
U1108,38571,17306,21265,8172,87,0.5513209406030437,0.2118690207668974,0.44867905939695624
U1109,135512,89690,45822,19729,117,0.33813979573764685,0.145588582560954,0.6618602042623531
U1110,68044,51531,16513,7673,144,0.2426812062782905,0.11276526953147963,0.7573187937217095
U1111,81214,31660,49554,6882,121,0.6101657349718029,0.08473908439431625,0.3898342650281971
U1112,91228,47777,43451,1906,121,0.4762901740693647,0.020892708379006444,0.5237098259306353
U1113,144752,53015,91737,3086,38,0.6337529015143142,0.02131922184149442,0.3662470984856859
U1114,78984,29576,49408,13503,101,0.6255444140585436,0.17095867517471894,0.3744555859414565
U1115,70774,35683,35091,8152,42,0.495817673156809,0.11518354197869274,0.504182326843191
