customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,segment,avg_order_value,clv,churn
12346.0,326,12,77556.46,2,5,5,255,At Risk,6463.038333333334,77556.46,1
12347.0,2,8,5633.32,5,4,5,545,Loyal Customers,704.165,5633.32,0
12348.0,75,5,2019.4,3,4,4,344,Others,403.88,2019.4,0
12349.0,19,4,4428.69,5,3,5,535,New Customers,1107.1725,4428.69,0
12350.0,310,1,334.4,2,1,2,212,Others,334.4,334.4,1
12351.0,375,1,300.93,2,1,2,212,Others,300.93,300.93,1
12352.0,36,10,2849.84,4,5,4,454,Loyal Customers,284.98400000000004,2849.84,0
12353.0,204,2,406.76,2,2,2,222,Others,203.38,406.76,1
12354.0,232,1,1079.4,2,1,3,213,Others,1079.4,1079.4,1
12355.0,214,2,947.61,2,2,3,223,Others,473.805,947.61,1
12356.0,23,6,6373.68,4,4,5,445,Loyal Customers,1062.28,6373.68,0
12357.0,33,3,18287.66,4,3,5,435,Others,6095.886666666666,18287.66,0
12358.0,2,5,3887.07,5,4,5,545,Loyal Customers,777.414,3887.07,0
12359.0,58,10,8935.94,4,5,5,455,Loyal Customers,893.594,8935.94,0
12360.0,52,8,4252.89,4,4,5,445,Loyal Customers,531.61125,4252.89,0
12361.0,287,4,511.25,2,3,2,232,Others,127.8125,511.25,1
12362.0,3,11,5356.23,5,5,5,555,Champions,486.92999999999995,5356.23,0
12363.0,110,2,552.0,3,2,2,322,Others,276.0,552.0,1
12364.0,8,4,1313.1,5,3,4,534,New Customers,328.275,1313.1,0
12365.0,291,2,641.38,2,2,3,223,Others,320.69,641.38,1
12366.0,634,1,500.24,1,1,2,112,Others,500.24,500.24,1
12367.0,4,1,168.9,5,1,1,511,New Customers,168.9,168.9,0
12368.0,628,1,917.6999999999999,1,1,3,113,Others,917.6999999999999,917.6999999999999,1
12369.0,413,3,1791.15,1,3,4,134,Others,597.0500000000001,1791.15,1
12370.0,51,7,4320.31,4,4,5,445,Loyal Customers,617.1871428571429,4320.31,0
12371.0,45,5,4067.38,4,4,5,445,Loyal Customers,813.476,4067.38,0
12372.0,72,3,1298.04,3,3,4,334,Others,432.68,1298.04,0
12373.0,311,3,1127.65,2,3,3,233,Others,375.8833333333334,1127.65,1
12374.0,25,4,2989.2200000000003,4,3,5,435,Others,747.3050000000001,2989.2200000000003,0
12375.0,11,2,457.5,5,2,2,522,New Customers,228.75,457.5,0
12376.0,390,2,503.15,2,2,2,222,Others,251.575,503.15,1
12377.0,315,4,3426.32,2,3,5,235,Others,856.58,3426.32,1
12378.0,130,2,5416.32,3,2,5,325,Others,2708.16,5416.32,1
12379.0,82,4,1620.22,3,3,4,334,Others,405.055,1620.22,0
12380.0,22,11,9676.300000000001,4,5,5,455,Loyal Customers,879.6636363636364,9676.300000000001,0
12381.0,5,5,1845.31,5,4,4,544,Loyal Customers,369.062,1845.31,0
12383.0,185,5,1850.56,3,4,4,344,Others,370.11199999999997,1850.56,1
12384.0,29,2,585.27,4,2,2,422,Others,292.635,585.27,0
12385.0,379,1,1938.4,2,1,4,214,Others,1938.4,1938.4,1
12386.0,338,2,660.8,2,2,3,223,Others,330.4,660.8,1
12387.0,415,1,143.94,1,1,1,111,Others,143.94,143.94,1
12388.0,16,8,3901.11,5,4,5,545,Loyal Customers,487.63875,3901.11,0
12389.0,403,3,1433.33,2,3,4,234,Others,477.77666666666664,1433.33,1
12390.0,80,1,549.84,3,1,2,312,Others,549.84,549.84,0
12391.0,22,6,2773.42,4,4,4,444,Loyal Customers,462.2366666666667,2773.42,0
12392.0,591,1,234.75000000000003,1,1,1,111,Others,234.75000000000003,234.75000000000003,1
12393.0,72,6,2399.4500000000003,3,4,4,344,Others,399.90833333333336,2399.4500000000003,0
12394.0,64,2,1272.48,3,2,4,324,Others,636.24,1272.48,0
12395.0,19,15,5067.27,5,5,5,555,Champions,337.81800000000004,5067.27,0
12396.0,674,1,931.43,1,1,3,113,Others,931.43,931.43,1
12397.0,36,2,2409.9,4,2,4,424,Others,1204.95,2409.9,0
12398.0,46,1,1635.6599999999999,4,1,4,414,Others,1635.6599999999999,1635.6599999999999,0
12399.0,119,7,1962.3,3,4,4,344,Others,280.3285714285714,1962.3,1
12400.0,414,1,205.25,1,1,1,111,Others,205.25,205.25,1
12401.0,303,1,84.3,2,1,1,211,Others,84.3,84.3,1
12402.0,323,6,1256.9,2,4,4,244,At Risk,209.48333333333335,1256.9,1
12403.0,50,2,1019.36,4,2,3,423,Others,509.68,1019.36,0
12404.0,682,1,63.24,1,1,1,111,Others,63.24,63.24,1
12405.0,149,1,1710.39,3,1,4,314,Others,1710.39,1710.39,1
12406.0,22,5,6390.36,4,4,5,445,Loyal Customers,1278.072,6390.36,0
12407.0,50,5,1708.1200000000001,4,4,4,444,Loyal Customers,341.624,1708.1200000000001,0
12408.0,33,8,4340.7699999999995,4,4,5,445,Loyal Customers,542.5962499999999,4340.7699999999995,0
12409.0,79,7,23419.29,3,4,5,345,Others,3345.612857142857,23419.29,0
12410.0,309,3,1013.71,2,3,3,233,Others,337.90333333333336,1013.71,1
12411.0,410,1,346.9,2,1,2,212,Others,346.9,346.9,1
12412.0,75,6,2596.93,3,4,4,344,Others,432.82166666666666,2596.93,0
12413.0,67,4,999.45,3,3,3,333,Others,249.8625,999.45,0
12414.0,217,6,952.41,2,4,3,243,At Risk,158.73499999999999,952.41,1
12415.0,24,28,144458.37,4,5,5,455,Loyal Customers,5159.2275,144458.37,0
12416.0,657,1,202.56,1,1,1,111,Others,202.56,202.56,1
12417.0,3,20,6816.91,5,5,5,555,Champions,340.8455,6816.91,0
12418.0,113,4,2021.2,3,3,4,334,Others,505.3,2021.2,1
12419.0,386,2,503.01,2,2,2,222,Others,251.505,503.01,1
12420.0,64,1,600.39,3,1,2,312,Others,600.39,600.39,0
12421.0,16,6,1098.6,5,4,3,543,Loyal Customers,183.1,1098.6,0
12422.0,96,17,5231.8,3,5,5,355,Others,307.7529411764706,5231.8,1
12423.0,1,10,2622.39,5,5,4,554,Loyal Customers,262.239,2622.39,0
12424.0,163,4,3340.03,3,3,5,335,Others,835.0075,3340.03,1
12425.0,78,2,1741.41,3,2,4,324,Others,870.705,1741.41,0
12426.0,195,2,1345.21,2,2,4,224,Others,672.605,1345.21,1
12427.0,22,3,1129.3,4,3,3,433,Others,376.43333333333334,1129.3,0
12428.0,26,9,7956.46,4,5,5,455,Loyal Customers,884.0511111111111,7956.46,0
12429.0,9,8,7485.91,5,4,5,545,Loyal Customers,935.73875,7485.91,0
12430.0,43,1,256.4,4,1,1,411,Others,256.4,256.4,0
12431.0,36,27,10857.97,4,5,5,455,Loyal Customers,402.147037037037,10857.97,0
12432.0,43,5,5059.32,4,4,5,445,Loyal Customers,1011.8639999999999,5059.32,0
12433.0,1,10,20581.26,5,5,5,555,Champions,2058.1259999999997,20581.26,0
12434.0,85,3,1103.43,3,3,3,333,Others,367.81,1103.43,0
12435.0,80,6,13925.93,3,4,5,345,Others,2320.9883333333332,13925.93,0
12436.0,100,1,509.01,3,1,2,312,Others,509.01,509.01,1
12437.0,2,39,12683.4,5,5,5,555,Champions,325.2153846153846,12683.4,0
12438.0,14,2,2906.85,5,2,4,524,New Customers,1453.425,2906.85,0
12439.0,683,2,1158.18,1,2,3,123,Others,579.09,1158.18,1
12440.0,462,2,859.2,1,2,3,123,Others,429.6,859.2,1
12441.0,367,1,347.1,2,1,2,212,Others,347.1,347.1,1
12442.0,3,1,172.06,5,1,1,511,New Customers,172.06,172.06,0
12443.0,732,1,485.31,1,1,2,112,Others,485.31,485.31,1
12444.0,21,5,5005.46,4,4,5,445,Loyal Customers,1001.092,5005.46,0
12445.0,22,2,434.98,4,2,2,422,Others,217.49,434.98,0
12446.0,58,1,1002.3100000000001,4,1,3,413,Others,1002.3100000000001,1002.3100000000001,0
12447.0,243,1,476.49,2,1,2,212,Others,476.49,476.49,1
12448.0,44,1,449.45,4,1,2,412,Others,449.45,449.45,0
12449.0,22,6,4835.89,4,4,5,445,Loyal Customers,805.9816666666667,4835.89,0
12450.0,156,5,688.2,3,4,3,343,Others,137.64000000000001,688.2,1
12451.0,11,8,12669.88,5,4,5,545,Loyal Customers,1583.735,12669.88,0
12452.0,17,2,430.57,5,2,2,522,New Customers,215.285,430.57,0
12453.0,134,1,707.09,3,1,3,313,Others,707.09,707.09,1
12454.0,56,5,16679.78,4,4,5,445,Loyal Customers,3335.9559999999997,16679.78,0
12455.0,73,10,5879.95,3,5,5,355,Others,587.995,5879.95,0
12456.0,44,3,3181.04,4,3,5,435,Others,1060.3466666666666,3181.04,0
12457.0,66,8,2995.91,3,4,5,345,Others,374.48875,2995.91,0
12458.0,71,4,1777.49,3,3,4,334,Others,444.3725,1777.49,0
12459.0,605,1,454.36,1,1,2,112,Others,454.36,454.36,1
12460.0,456,1,326.65,1,1,2,112,Others,326.65,326.65,1
12461.0,94,2,826.88,3,2,3,323,Others,413.44,826.88,1
12462.0,19,2,1189.59,5,2,3,523,New Customers,594.795,1189.59,0
12463.0,53,4,1344.78,4,3,4,434,Others,336.195,1344.78,0
12464.0,10,8,1212.05,5,4,3,543,Loyal Customers,151.50625,1212.05,0
12465.0,17,2,742.1899999999999,5,2,3,523,New Customers,371.09499999999997,742.1899999999999,0
12466.0,682,1,56.73,1,1,1,111,Others,56.73,56.73,1
12467.0,423,1,132.8,1,1,1,111,Others,132.8,132.8,1
12468.0,188,5,3670.74,3,4,5,345,Others,734.1479999999999,3670.74,1
12469.0,523,2,3070.54,1,2,5,125,Others,1535.27,3070.54,1
12470.0,690,1,211.95,1,1,1,111,Others,211.95,211.95,1
12471.0,2,79,39963.79,5,5,5,555,Champions,505.8707594936709,39963.79,0
12472.0,32,19,17880.59,4,5,5,455,Loyal Customers,941.0836842105264,17880.59,0
12473.0,29,5,3938.5499999999997,4,4,5,445,Loyal Customers,787.7099999999999,3938.5499999999997,0
12474.0,17,31,12424.45,5,5,5,555,Champions,400.7887096774194,12424.45,0
12475.0,54,2,1149.64,4,2,3,423,Others,574.82,1149.64,0
12476.0,16,23,14115.41,5,5,5,555,Champions,613.7134782608696,14115.41,0
12477.0,23,9,20276.37,4,5,5,455,Loyal Customers,2252.93,20276.37,0
12478.0,4,1,680.99,5,1,3,513,New Customers,680.99,680.99,0
12479.0,11,1,527.2,5,1,2,512,New Customers,527.2,527.2,0
12480.0,28,7,5464.85,4,4,5,445,Loyal Customers,780.6928571428572,5464.85,0
12481.0,23,15,12361.39,4,5,5,455,Loyal Customers,824.0926666666667,12361.39,0
12482.0,576,29,23691.4,1,5,5,155,At Risk,816.944827586207,23691.4,1
12483.0,17,19,5120.58,5,5,5,555,Champions,269.5042105263158,5120.58,0
12484.0,33,12,6370.15,4,5,5,455,Loyal Customers,530.8458333333333,6370.15,0
12485.0,529,1,708.1,1,1,3,113,Others,708.1,708.1,1
12486.0,432,1,1037.28,1,1,3,113,Others,1037.28,1037.28,1
12487.0,731,1,285.29999999999995,1,1,1,111,Others,285.29999999999995,285.29999999999995,1
12488.0,10,3,1298.66,5,3,4,534,New Customers,432.8866666666667,1298.66,0
12489.0,336,1,334.93,2,1,2,212,Others,334.93,334.93,1
12490.0,5,21,9823.64,5,5,5,555,Champions,467.79238095238094,9823.64,0
12491.0,39,1,460.40000000000003,4,1,2,412,Others,460.40000000000003,460.40000000000003,0
12492.0,63,3,715.21,3,3,3,333,Others,238.40333333333334,715.21,0
12493.0,166,2,433.74,3,2,2,322,Others,216.87,433.74,1
12494.0,16,9,1872.8700000000001,5,5,4,554,Loyal Customers,208.0966666666667,1872.8700000000001,0
12495.0,641,1,357.4,1,1,2,112,Others,357.4,357.4,1
12496.0,620,2,54.09,1,2,1,121,Others,27.045,54.09,1
12497.0,82,3,6248.5,3,3,5,335,Others,2082.8333333333335,6248.5,0
12498.0,21,3,403.70000000000005,4,3,2,432,Others,134.5666666666667,403.70000000000005,0
12499.0,560,1,393.72,1,1,2,112,Others,393.72,393.72,1
12500.0,23,19,5955.21,4,5,5,455,Loyal Customers,313.4321052631579,5955.21,0
12501.0,337,1,2169.39,2,1,4,214,Others,2169.39,2169.39,1
12502.0,96,5,3723.87,3,4,5,345,Others,744.774,3723.87,1
12503.0,584,1,1126.0,1,1,3,113,Others,1126.0,1126.0,1
12504.0,18,4,779.05,5,3,3,533,New Customers,194.7625,779.05,0
12505.0,409,1,955.2,2,1,3,213,Others,955.2,955.2,1
12506.0,233,1,73.5,2,1,1,211,Others,73.5,73.5,1
12507.0,134,4,1844.06,3,3,4,334,Others,461.015,1844.06,1
12508.0,26,2,398.27,4,2,2,422,Others,199.135,398.27,0
12509.0,284,1,176.5,2,1,1,211,Others,176.5,176.5,1
12510.0,143,9,5178.02,3,5,5,355,Others,575.3355555555556,5178.02,1
12511.0,429,1,3084.02,1,1,5,115,Others,3084.02,3084.02,1
12512.0,66,2,138.03,3,2,1,321,Others,69.015,138.03,0
12513.0,113,1,612.29,3,1,2,312,Others,612.29,612.29,1
12514.0,267,2,1597.76,2,2,4,224,Others,798.88,1597.76,1
12515.0,353,1,383.7,2,1,2,212,Others,383.7,383.7,1
12516.0,78,4,2648.62,3,3,4,334,Others,662.155,2648.62,0
12517.0,28,5,2502.84,4,4,4,444,Loyal Customers,500.56800000000004,2502.84,0
12518.0,1,5,2056.89,5,4,4,544,Loyal Customers,411.378,2056.89,0
12519.0,64,2,726.54,3,2,3,323,Others,363.27,726.54,0
12520.0,79,5,2634.26,3,4,4,344,Others,526.8520000000001,2634.26,0
12521.0,143,1,599.68,3,1,2,312,Others,599.68,599.68,1
12522.0,39,2,192.72,4,2,1,421,Others,96.36,192.72,0
12523.0,19,23,4372.15,5,5,5,555,Champions,190.09347826086955,4372.15,0
12524.0,9,17,11126.11,5,5,5,555,Champions,654.4770588235294,11126.11,0
12525.0,498,3,973.73,1,3,3,133,Others,324.57666666666665,973.73,1
12526.0,1,3,1316.66,5,3,4,534,New Customers,438.8866666666667,1316.66,0
12527.0,82,5,735.51,3,4,3,343,Others,147.102,735.51,0
12528.0,9,6,1933.48,5,4,4,544,Loyal Customers,322.24666666666667,1933.48,0
12529.0,528,1,316.48,1,1,2,112,Others,316.48,316.48,1
12530.0,60,9,3759.26,3,5,5,355,Others,417.6955555555556,3759.26,0
12531.0,15,2,1933.2,5,2,4,524,New Customers,966.6,1933.2,0
12532.0,30,1,349.83000000000004,4,1,2,412,Others,349.83000000000004,349.83000000000004,0
12533.0,628,2,1367.89,1,2,4,124,Others,683.945,1367.89,1
12534.0,131,1,1089.18,3,1,3,313,Others,1089.18,1089.18,1
12535.0,92,2,716.35,3,2,3,323,Others,358.175,716.35,1
12536.0,43,3,12601.830000000002,4,3,5,435,Others,4200.610000000001,12601.830000000002,0
12537.0,409,1,732.94,2,1,3,213,Others,732.94,732.94,1
12538.0,29,2,640.45,4,2,3,423,Others,320.225,640.45,0
12539.0,22,7,11214.75,4,4,5,445,Loyal Customers,1602.107142857143,11214.75,0
